video_id,comments
JPaubSOSxeM,와 ㅋㅋㅋ ㄹㅇ 숨막힌다 ㅋㅋㅋ
JPaubSOSxeM,아빠가 세뇌 당함..... ㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,아 존나 웃기닼ㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,여자들아 남자 믿지 말고 외박하지마라..
JPaubSOSxeM,"이건 사랑이 아니다. 애비를 죽여라,"
JPaubSOSxeM,아영님 짧대에서 보다가 여기서 보니까 신기하당
JPaubSOSxeM,54년생 아버지들도 안그러겠다 ㅋ 귀여워 ㅋ
JPaubSOSxeM,이번편 레전드네 ㄹㅇㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ-ㅋㅋ
JPaubSOSxeM,0:00좀비소리?
JPaubSOSxeM,ㅋㅋㅋ 수정대역 대박 ㅋㅋ
JPaubSOSxeM,작살난다
JPaubSOSxeM,"허허... 원 내이야기네.
대기업 다니던 딸아이가 29살에 갑자기 혼자 캐나다 놀러간다기에  이아빠처럼 항상의심이 많았던 나는 믿지못했다.
지 엄마는 날보고 뭐라했지만 난 내가 마누라와내가 장모와 장인에게 구라쳤던
일이 상기되어 전혀 딸의 캐나다 관광을
믿지못했는데 아뿔사 그일이 진전이되어 
결국.....유투브에서 이놈들을 확인하세요.
여기에나오는 마누라 딸놈 사위 그사이에서 태어난 손주 .지금은 32살이되었네요
사실입니다. 유투브에서 이아니타임을 찾으세요.
------전 결국 그 유투브에서 나오는 그 할아버지가 되었습니다."
JPaubSOSxeM,29이면 오히려 외박을 장려 해야죠 아버님 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,스물아홉이라는데 애비한테 지켜야 할 선 이러네ㅋㅋ 대본이라지만 진짜 어디 있을 것 같아서 빡친다
JPaubSOSxeM,참 .. 대단하다.   겁나 길어 ㅋㅋ
JPaubSOSxeM,야채누나가 뷰티인사이드 나온거보고 무지반가웠네요 ㅎ
JPaubSOSxeM,"아.. 죈장!
몇번째 돌려 보는건지..
딸이랑 눈물 빼면서 봤네요.."
JPaubSOSxeM,29이면 놀러가라고 돈 쥐어줘야할 나이
JPaubSOSxeM,세상 모든 아빠에게 고하노니 평생 양육할거 아니라면 좀 냅둬라..남자랑 여행도 다니고 해야 시집이라도 가지 맨날 신데렐라 놀이하다간 좋은때에 먹버만 당한다..
JPaubSOSxeM,아빠를 저렇게 속이면 남친도 언젠가 저렇게 속이겠지
JPaubSOSxeM,존나 웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,호흡ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,아내한테 걸리면 무슨짓을 당하길래..  딸래미가 남친이랑 펜션여행가서 외박한다는데  퉁치자는 말이..   어허..
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,이번엔 스릴러였다 숨막혔어~~~
JPaubSOSxeM,2:10 본인 아빠 만났다니까 자연스럽게 뭐드셨녜 ㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,안본사람은 없어도 한번본사람은 없다..
JPaubSOSxeM,ㅇ..왜 아버지를 세뇌시키세요...
JPaubSOSxeM,"진짜 아귀처럼 생겼는데 
이렇게 연기하는거보면 
울나라 여자들 평균외모 나오죠"
JPaubSOSxeM,ptsd 최고봉
