word	contraction
are not aren’t
cannot	can’t
could not   couldn’t
did not didn’t
do not	don’t
does not	doesn’t
had not	hadn’t
have not    haven’t
he is	he’s
he has	he’s
he will	he’ll
he would	he’d
here is	here’s
I am	I’m
I have	I’ve
I will	I’II
I would	I’d
I had	I’d
is not	isn’t
it is	it’s
it has	it’s
it has	it’s
it will	it’ll
must not	mustn’t
she is	she’s
she has	she’s
she will	she’ll
she had	she’d
should not	shouldn’t
that is	that’s
there is	there’s
they are	they’re
they have   they’ve
they will	they’ll
they would	they’d
they had	they’d
was not	wasn’t
we are	we’re
we have	we’ve
we will	we’ll
we would    we’d
we had	we’d
were not	weren’t
what is	what’s
where is	where’s
who is	who’s
who will	who’ll
will not	won’t
would not	wouldn’t
you are	you’re
you have	you’ve
you will	you’ll
you would	you’d
you had	you’d
