Unnamed: 0,answer,words
15,"국가암정보센터에 따르면 유방암은 진행 정도와 발생부위, 종양크기, 개인의 선호도 및 건강 상태 등에 따라 수술과 항암화학요법, 항호르몬요법, 방사선치료를 조합하여 시행함을 확인할 수 있었습니다. 하지만 대부분은 유방암수술 후 보조 항암화학요법을 시행하며, 그 이후 방사선치료 및 항호르몬요법 순서로 치료계획을 수립하여 진행합니다.","['국가암정보센터', '유방암', '진행', '정도', '발생부위', '종양크기', '개인', '선호도', '건강', '상태', '수술', '항암화학요법', '호르몬', '요법', '방사선치료', '조합', '시행', '확인', '대부분', '유방암수술', '보조', '항암화학요법', '시행', '이후', '방사선치료', '호르몬', '요법', '순서', '치료계획', '수립', '진행']"
24,환자에게 중요한 것은 올바른 식습관으로 몸에 좋은 음식을 균형 있게 섭취함으로써 체력을 든든하게 키워 수술과 항암화학요법 등 각종 치료를 잘 견뎌내는 일입니다. 유방암 환자에게 권고 되는 바람직한 식생활 습관은 다음과 같습니다.,"['환자', '중요', '식습관', '음식', '균형', '섭취', '체력', '수술', '항암화학요법', '각종', '치료', '유방암', '환자', '권고', '식생활', '습관', '다음']"
28,"유방암 진단 후 MRI를 추가적으로 촬영하는 이유가 궁금하시군요, 이에 대해서 설명드리겠습니다.","['유방암', '진단', '추가', '촬영', '이유', '설명']"
30,"질문내용으로 유추해보면 어머님의 왼쪽 등 통증은 유방암 진단 당시부터 이어져 온 통증이며, 항암 후 검사 중 뼈 스캔이 포함되어 있어 뼈 전이에 대한 일차적인 평가가 가능하다고 판단하여 추가 검사를 포함하지 않았을 가능성이 높아 보입니다. 일반적으로는 뼈 스캔 검사 결과에서 의심 소견이 보일 때 추가검사를 시행하게 됩니다.","['질문내용', '유추', '어머님', '왼쪽', '통증', '유방암', '진단', '당시', '통증', '항암', '검사', '스캔', '포함', '전이', '일차', '평가', '가능', '판단', '추가', '검사', '포함', '가능', '일반', '스캔', '검사', '결과', '의심', '소견', '추가', '검사', '시행']"
31,간혹 위와 같은 증상이 장기적으로 지속되는 경우도 있지만 대부분의 경우에는 항암이 끝나면 증상이 사라집니다. 유방암 치료를 위한 항암화학요법과 치매와의 관련성 여부는 현재까지 분명하게 나타난 바가 없으며 여전히 연구가 진행되고 있습니다. 항암화학요법 이후 인지 기능 저하 증상이 나타날 경우 완화할 수 있는 습관에는 다음과 같은 것들이 있습니다.,"['증상', '장기', '지속', '경우', '대부분', '경우', '항암', '증상', '유방암', '치료', '항암화학요법', '치매', '관련', '여부', '현재', '연구', '진행', '항암화학요법', '이후', '인지', '기능', '저하', '증상', '경우', '완화', '습관', '다음']"
59,"유방암수술 후 흔히 발생하는 부작용 중 림프부종이 있는데, 수술 후 림프계순환에 문제가 생겨 발생할 수 있습니다. 특히, 유방암수술 중 겨드랑이 림프절을 제거하게 되면 림프액의 순환을 방해하여 림프부종이 발생할 수도 있습니다.","['유방암수술', '발생', '부작용', '림프부종', '수술', '림프계순환', '문제', '발생', '유방암수술', '겨드랑이', '림프절', '제거', '림프액', '순환', '방해', '림프부종', '발생']"
67,"2. 유방암이 재발될 경우 처음 발견된 부위가 아닌 뼈, 폐, 뇌, 간 등에서 발견될 수 있으며 이는 조직검사를 통해 재발 또는 2차 암의 여부를 확인할 수 있습니다. 재발 위치에 따라서 다음과 같이 3가지 종류로 나눌 수 있습니다.","['유방암', '재발', '경우', '처음', '발견', '부위', '발견', '조직검사', '재발', '여부', '확인', '재발', '위치', '다음', '가지', '종류']"
87,"유방촬영술, 유방초음파, 조직검사로 암인지 여부를 확인할 수는 있지만 암으로 진단된 후 치료계획을 세우기 위해서는 유방 MRI 촬영이 꼭 필요합니다. MRI는 강력한 자기장을 이용해 유방 내부의 사진을 찍는 검사 방법으로, 방사선이 아닌 자기장을 이용하기 때문에 몸에 해롭지 않고 부작용이 없습니다. 또한, 다양한 각도에서 사진을 찍기 때문에 보다 세밀한 촬영이 가능해요. 따라서 MRI 검사를 통해 유방 촬영술로 확인하지 못한 유방암의 정확한 위치와 크기를 확인할 수 있습니다. 구체적으로는 다음과 같은 경우 유방 MRI 촬영을 시행헤요","['유방촬영술', '유방초음파', '조직검사', '여부', '확인', '진단', '치료계획', '유방', '촬영', '필요', '자기장', '이용', '유방', '내부', '사진', '검사', '방법', '방사선', '자기장', '이용', '때문', '부작용', '다양', '각도', '사진', '때문', '촬영', '가능', '검사', '유방', '촬영술', '확인', '유방암', '정확', '위치', '크기', '확인', '구체', '다음', '경우', '유방', '촬영', '시행']"
90,"유방암수술 직후에는 담당 의사 선생님의 처방에 따라 병원에서 나오는 식이를 드시면 됩니다. 또, 수술 후 특별히 도움이 되는 음식은 따로 없지만, 전신 마취로 인해 소화 기능 및 연하 기능이 저하되었을 수 있으므로 소화가 힘들 경우 소화하기 편한 미음 또는 죽을 드시는 것을 권장 드립니다. 이후 소화 기능이 수술 전과 같이 돌아오게 되면, 식단과 관련하여 너무 엄격하게 관리하시느라 스트레스를 받으시기보다는 영양소의 종류와 구성을 잘 고려하여 드시는 것이 좋습니다. 국가암정보센터에서 권장하는 성인(암 환자 포함)의 바람직한 에너지원 구성은 1일 기준 지방 20 ~ 35%, 탄수화물 45 ~ 65%, 단백질 10 ~ 35%이며, 칼슘과 단백질 섭취의 중요성도 강조하고 있습니다.","['유방암수술', '직후', '담당', '의사', '선생', '처방', '병원', '식이', '수술', '도움', '음식', '전신', '마취', '소화', '기능', '연하', '기능', '저하', '소화', '경우', '소화', '미음', '권장', '이후', '소화', '기능', '수술', '식단', '관련', '관리', '스트레스', '영양소', '종류', '구성', '고려', '국가암정보센터', '권장', '성인', '환자', '포함', '에너지', '구성', '기준', '지방', '탄수화물', '단백질', '칼슘', '단백질', '섭취', '중요', '강조']"
100,"언급하신 내용을 고려하여 결론부터 말씀드리면, 현재 상황에서 캐싸일라 치료의 적용 대상은 아닌 것으로 사료됩니다.
『암환자에게 처방·투여하는 약제에 대한 요양급여의 적용기준 및 방법에 관한 세부 사항』에서  캐싸일라의 적용 기준은 ‘탁산 및 트라스투주맙 기반의 수술 전 선행 항암치료를 받은 후에도 침습적 잔존 병변이 있는 HER2 양성 조기 유방암 환자에서 수술 후 보조요법으로서 단독 투여’가 가능합니다. 2022.7.1부터 건강보험 적용이 되면서 해당 기준에 부합한 경우 급여 대상이 됩니다.","['언급', '내용', '고려', '결론', '말씀', '상황', '캐싸일라', '치료', '적용', '대상', '사료', '환자', '처방', '투여', '약제', '요양', '급여', '적용', '기준', '방법', '세부', '사항', '캐싸일라', '적용', '기준', '트라스투주맙', '기반', '수술', '선행', '항암치료', '침습', '잔존', '병변', '양성', '조기', '유방암', '환자', '수술', '보조', '요법', '단독', '투여', '가능', '건강', '보험', '적용', '해당', '기준', '부합', '경우', '급여', '대상']"
