Unnamed: 0,answer,words
1,"마지막으로, 방사선치료로 인한 폐손상 후유증은 매우 드물게 발생하며 치료를 받은 후 약 3~6개월 후에 발생하거나 일부에서는 수년 후에도 발생할 수 있습니다. 따라서, 미리 너무 걱정하시지는 않으셔도 되며 만약 아래와 같은 방사선 폐렴의 의심 증상이 나타난다면 빠르게 병원을 방문하여 검사를 받아보시는 것을 추천드립니다. 빠르게 진단하여 치료를 받으면 큰 어려움 없이 회복하실 수 있습니다.","['마지막', '방사선치료', '폐손상', '후유증', '발생', '치료', '개월', '발생', '일부', '발생', '걱정', '아래', '방사선', '폐렴', '의심', '증상', '병원', '방문', '검사', '추천', '진단', '치료', '어려움', '회복']"
4,"또한 하루 수 시간 이상 운동을 하는 것이 아니라면 운동으로 인해 소모되는 열량을 그리 크지 않습니다. 30분에서 1시간 동안 빠른 걸음으로 걷는 것은 우유 한 잔이나 밥 한 공기의 칼로리 정도만을 소모시킬 수 있습니다. 따라서, 식이 다이어리와 함께 현재 시행하고 계시는 운동 종류, 시간, 강도 등에 대해서도 기록을 하여 담당의사선생님과 운동 및 체중 감량에 대해 상의해 보시는 것을 추천드립니다. 최근 다이어트, 식이, 운동 관련 애플리케이션이 다양한 기능을 지원하고 있으므로 이를 적극적으로 활용하시는 것도 정확한 기록을 하는 데 도움이 될 것입니다.","['하루', '시간', '이상', '운동', '운동', '소모', '열량', '시간', '동안', '걸음', '우유', '공기', '칼로리', '정도', '소모', '식이', '다이어리', '시행', '운동', '종류', '시간', '강도', '기록', '담당의사선생님', '운동', '체중', '감량', '상의', '추천', '최근', '다이어트', '식이', '운동', '관련', '애플리케이션', '다양', '기능', '지원', '적극', '활용', '정확', '기록', '도움']"
5,"식욕부진: 식욕부진은 암 자체와 항암치료로 인해 가장 흔하게 나타날 수 있고, 암으로 인한 공포나 우울감 등으로도 생길 수 있습니다. 다음의 방법을 참조하시면 도움이 될 것입니다.
· 식사시간이 아니더라도 먹고 싶을 때, 먹을 수 있을 때, 몸 상태가 좋을 때 먹기
· 식사섭취가 계속 힘들 경우 특수영양 보충 음료(환자용 식품) 이용하기
· 가벼운 산책 등 규칙적인 운동으로 입맛 돋구기","['식욕부진', '식욕부진', '자체', '항암치료', '공포', '우울감', '다음', '방법', '참조', '도움', '식사시간', '상태', '식사섭취', '경우', '특수', '영양', '보충', '음료', '환자', '식품', '이용', '산책', '규칙', '운동', '입맛']"
6,"장폐색의 원인과 증상에 따라 치료방법은 달라질 수 있으며, 정도에 따라 금식 및 비위관영양, 수술 등이 필요할 수 있습니다. 따라서 개인의 건강 상태 및 장폐색 증상과 정도를 고려하여 진통제 및 항구토제 사용, 치료 및 수술, 외과 및 소화기내과 담당의사선생님과의 협진과 상담을 받는 것이 폐암에서의 마비성 장폐색을 예방하는 방법입니다. 이뿐만 아니라 마비성 장폐색을 예방하는 방법에는 장폐색이 발생되는 단계에 따라 복강경 수술적 접근, 껌 씹기, 식이 조기 진행, 수술 후 조기 회복 활동 등도 포함됩니다. 하지만 앞서 언급했듯이, 발생 원인과 진행 정도 파악을 위해서 마비성 장폐색 증상이 의심되는 경우 담당의사선생님과의 상담을 통해 추가 검사와 치료를 받으시는 것을 추천드립니다.","['장폐색', '원인', '증상', '치료방법', '정도', '금식', '비위관영양', '수술', '필요', '개인', '건강', '상태', '장폐색', '증상', '정도', '고려', '통제', '항구토제', '사용', '치료', '수술', '외과', '소화기', '내과', '담당의사선생님', '협진', '상담', '폐암', '마비', '장폐색', '예방', '방법', '마비', '장폐색', '예방', '방법', '장폐색', '발생', '단계', '복강경', '수술', '접근', '식이', '조기', '진행', '수술', '조기', '회복', '활동', '포함', '언급', '발생', '원인', '진행', '정도', '파악', '마비', '폐색', '증상', '의심', '경우', '담당의사선생님', '상담', '추가', '검사', '치료', '추천']"
7,"옵티플로우 치료를 하면서 환자의 상태가 호전되면 일반적인 산소 요법으로 전환할 수 있으며, 이후 산소 요법을 완전히 중단할 수도 있습니다. 이 부분은 담당의사선생님의 판단하에 결정됩니다. 따라서, 주치의 선생님과의 면담을 요청하시면 치료계획에 대한 자세한 설명을 들으실 수 있을 것으로 생각됩니다.","['옵티플로우', '치료', '환자', '상태', '호전', '일반', '산소', '요법', '전환', '산소', '요법', '중단', '부분', '담당의사선생님', '판단', '결정', '주치의', '선생', '면담', '요청', '치료계획', '설명', '생각']"
8,"국가암검진 사업의 일환으로 대장암은 50세 이후에는 증상이 없더라도 정기적으로 검사를 받는 것을 권하고 있습니다. 하지만 40대 이하에서의 대장암이 전체의 2~4%를 차지하므로, 가족력이 있거나 증상이 있는 경우에는 전문의 상담 및 검사를 받아보는 것이 좋습니다.","['국가암검진', '사업', '일환', '대장암', '이후', '증상', '정기', '검사', '이하', '대장암', '전체', '차지', '가족력', '증상', '경우', '전문의', '상담', '검사']"
9,"항암화학요법 중에 나타나는 호중구 감소는 정상적으로 나타날 수 있는 과정이지만 감염을 예방하고, 이상 증상이 나타날 시에는 응급실 또는 담당의사선생님의 진료를 앞당겨 보시는 것을 추천드립니다. 감염을 예방할 수 있는 방법은 다음과 같습니다.","['항암화학요법', '호중', '감소', '정상', '과정', '감염', '예방', '이상', '증상', '응급실', '담당의사선생님', '진료', '추천', '감염', '예방', '방법', '다음']"
11,"항암화학요법을 받는 기간에 항암제 또는 항히스타민제, 진통제 투여 등으로 인하여 어지럼증이 흔하게 발생할 수 있으며, 약제로 인해 발생하는 어지럼증은 어지럼증을 유발하는 약제를 거듭 투여하게되면 대부분 서서히 사라집니다. 하지만, 어지럼증은 항암화학요법 이외에도 다양한 원인에 의해 발생할 수 있으며, 원인에 따라 치료가 달라지게 됩니다. 현재 어떤 원인으로 인해 어지럼증이 발생하였는지 불확실하기 때문에 병원을 방문하셔서 정확한 원인을 파악하는 것이 가장 중요합니다. 따라서, 백혈구 수치를 확인하기 위해 외래에 방문했을 때 주치의 선생님께 어지럼증과 관련된 증상을 자세하게 말씀해 보시거나, 만약 어지럼증이 너무 심하시다면 예정된 외래 전에 따로 외래를 잡아 진료를 보시는 것을 추천드려요.","['항암화학요법', '기간', '항암제', '항히스타민제', '진통제', '투여', '어지럼증', '발생', '약제', '발생', '어지럼증', '어지럼증', '유발', '약제', '투여', '부분', '어지럼증', '항암화학요법', '이외', '다양', '원인', '발생', '원인', '치료', '원인', '어지럼증', '발생', '불확실', '때문', '병원', '방문', '정확', '원인', '파악', '중요', '백혈구', '수치', '확인', '외래', '방문', '주치의', '선생', '어지럼증', '관련', '증상', '말씀', '만약', '어지럼증', '예정', '외래', '외래', '진료', '추천']"
12,"암세포는 주변조직에 침범하거나, 가깝게 위치한 림프절 또는 혈관을 타고 이동하여 퍼질 수 있습니다. 대장암의 경우 간 전이가 가장 많이 발생한다고 알려져 있습니다. 이는 장에 혈액을 공급하는 문맥이라는 큰 혈관이 간에 직접 연결되어 있기 때문입니다.","['암세포', '주변조직', '침범', '위치', '림프절', '혈관', '이동', '대장암', '경우', '전이', '발생', '혈액', '공급', '문맥', '혈관', '연결', '때문']"
14,비타민 D 및 칼슘이 풍부한 식단 예시는 다음과 같습니다.,"['비타민', '칼슘', '식단', '예시', '다음']"
15,"국가암정보센터에 따르면 유방암은 진행 정도와 발생부위, 종양크기, 개인의 선호도 및 건강 상태 등에 따라 수술과 항암화학요법, 항호르몬요법, 방사선치료를 조합하여 시행함을 확인할 수 있었습니다. 하지만 대부분은 유방암수술 후 보조 항암화학요법을 시행하며, 그 이후 방사선치료 및 항호르몬요법 순서로 치료계획을 수립하여 진행합니다.","['국가암정보센터', '유방암', '진행', '정도', '발생부위', '종양크기', '개인', '선호도', '건강', '상태', '수술', '항암화학요법', '호르몬', '요법', '방사선치료', '조합', '시행', '확인', '대부분', '유방암수술', '보조', '항암화학요법', '시행', '이후', '방사선치료', '호르몬', '요법', '순서', '치료계획', '수립', '진행']"
